"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-26","   40","   50",,,,"0.00","   66","0.0","0.0",,"66","35","  402",,,,,"  270",,,,,,"23.9",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-27","   30","   30",,,,"0.00","   88","0.0","0.0",,"55","25","  540",,,,,"  225",,,,,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-28","   70","   80",,,,"0.00","   59","0.0","0.0",,"53","24","  360",,,,,"  225",,,,,,"17.0",,,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-29","   70","   70",,,,"0.25","   53","0.0","0.0",,"75","52","  330",,,,,"  225",,,,,,"29.1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-30","   60","   70",,,,"0.00","   51","0.0","0.0",,"53","26","  318",,,,,"  315",,,,,,"19.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-31","   20","   10",,,,"0.00","  100","0.0","0.0",,"47","23","  618",,,,,"  225",,,,,,"13.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-01","   40","   30",,,,"0.00","   84","0.0","0.0",,"61","30","  516",,,,,"  225",,,,,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-02","   70","   80",,,,"0.45","   19","0.0","0.0",,"64","39","  120",,,,,"  180",,,,,,"25.1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-03","  100","  100",,,,"0.46","    0","0.4","0.0",,"56","20","    0",,,,,"  315",,,,,,"27.1","    1",,,,,"    1",,"    1",,,,,,"    1",,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-04","    0","    0",,,,"0.00","  100","0.0","0.0",,"26","8","  624",,,,,"  360",,,,,,"19.9",,,,,,,,,,,,,,,,,,,,
